,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?",rating_category,institution,perception
1535,8.0,High (8-10),Singapore University of Technology and Design (SUTD),"I recognise the organisation by name, but don’t have a clear impression of them"
1538,4.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1543,4.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1546,10.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1547,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1549,7.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1551,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1552,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1554,7.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1555,6.0,Medium (5-7),Management Development Institute of Singapore (MDIS),I’m familiar with the organisation and would consider them as a potential employer
1556,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1557,7.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1558,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1562,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1563,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1564,5.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1566,6.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1567,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1568,7.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1569,2.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1570,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1571,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1572,5.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1573,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1574,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1579,5.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1581,9.0,High (8-10),Yale-NUS College,I’m familiar with the organisation and would consider them as a potential employer
1582,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1583,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1584,9.0,High (8-10),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1585,2.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1586,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1587,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1588,1.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1589,9.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1590,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1591,3.0,Low (1-4),Duke-NUS Graduate Medical School,I’m not familiar enough with the organisation to form a solid opinion
1593,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1594,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1595,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1596,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
